FID;id;nom_comm;insee_comm;superficie;population;insee_dep;nom_comm_1;nouvelles;EPCI;INSEE_ID
331;BDCSURCO0000000009600113;Le Puy-Notre-Dame;49253;1588;1209;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49253
332;BDCSURCO0000000009597540;Les Rairies;49257;847;987;49; ; ;Communauté de communes Anjou Loir et Sarthe;49257
333;BDCSURCO0000000009599031;Rochefort-sur-Loire;49259;2805;2313;49; ; ;Communauté de communes Loire Layon Aubance;49259
334;BDCSURCO0000000009600385;La Romagne;49260;1611;1791;49; ; ;Agglomération du Choletais;49260
335;BDCSURCO0000000009599014;Les Rosiers-sur-Loire;49261;2607;2316;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49261
336;BDCSURCO0000000009599588;Rou-Marson;49262;1292;675;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49262
337;BDCSURCO0000000009598430;Saint-Augustin-des-Bois;49266;2744;1210;49; ; ;Communauté de communes Vallées du Haut-Anjou;49266
338;BDCSURCO0000000009598424;Saint-Barthélemy-d'Anjou;49267;1470;9318;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49267
339;BDCSURCO0000000009600386;Saint-Christophe-du-Bois;49269;2180;2586;49; ; ;Agglomération du Choletais;49269
340;BDCSURCO0000000009598150;Saint-Clément-de-la-Place;49271;3342;2157;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49271
341;BDCSURCO0000000009599013;Saint-Clément-des-Levées;49272;1042;1142;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49272
342;BDCSURCO0000000009599861;Saint-Cyr-en-Bourg;49274;869;915;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49274
343;BDCSURCO0000000009598719;Sainte-Gemmes-sur-Loire;49278;1483;3493;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49278
344;BDCSURCO0000000009598724;Saint-Georges-sur-Loire;49283;3437;3513;49; ; ;Communauté de communes Loire Layon Aubance;49283
345;BDCSURCO0000000009598725;Saint-Germain-des-Prés;49284;2001;1390;49; ; ;Communauté de communes Loire Layon Aubance;49284
346;BDCSURCO0000000009598720;Saint-Jean-de-la-Croix;49288;190;235;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49288
347;BDCSURCO0000000009598427;Saint-Jean-de-Linières;49289;879;1785;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49289
348;BDCSURCO0000000009599863;Saint-Just-sur-Dive;49291;725;392;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49291
349;BDCSURCO0000000009599311;Val-du-Layon;49292;3001;3318;49;Val-du-Layon;CN;Communauté de communes Loire Layon Aubance;49292
350;BDCSURCO0000000009598149;Saint-Lambert-la-Potherie;49294;1412;2507;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49294
351;BDCSURCO0000000009598428;Saint-Léger-des-Bois;49298;1573;1655;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49298
352;BDCSURCO0000000009600128;Saint-Léger-sous-Cholet;49299;972;2665;49; ; ;Agglomération du Choletais;49299
353;BDCSURCO0000000009600129;Sèvremoine;49301;21458;25329;49;Sèvremoine;CN;Mauges Communauté;49301
354;BDCSURCO0000000009600115;Saint-Macaire-du-Bois;49302;1324;457;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49302
355;BDCSURCO0000000009599299;Saint-Martin-de-la-Place;49304;1483;1146;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49304
356;BDCSURCO0000000009598429;Saint-Martin-du-Fouilloux;49306;1497;1673;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49306
357;BDCSURCO0000000009598709;Loire-Authion;49307;11471;15584;49;Loire-Authion;CN;Commune isolée - Rejoint Angers en 2018;49307
358;BDCSURCO0000000009598717;Saint-Melaine-sur-Aubance;49308;503;2022;49; ; ;Communauté de communes Loire Layon Aubance;49308
359;BDCSURCO0000000009600120;Saint-Paul-du-Bois;49310;2681;606;49; ; ;Agglomération du Choletais;49310
360;BDCSURCO0000000009598704;Saint-Philbert-du-Peuple;49311;1664;1301;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49311
361;BDCSURCO0000000009598432;Saint-Sigismond;49321;1302;365;49; ; ;Communauté de communes Vallées du Haut-Anjou;49321
362;BDCSURCO0000000009598144;Verrières en Anjou;49323;2566;6977;49;Verrières en Anjou;CN;Communauté Urbaine d'Angers Loire Métropole;49323
363;BDCSURCO0000000009598140;Sarrigné;49326;305;811;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49326
364;BDCSURCO0000000009599586;Saumur;49328;6651;27301;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49328
365;BDCSURCO0000000009598723;Savennières;49329;2128;1357;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49329
366;BDCSURCO0000000009597552;Sceaux-d'Anjou;49330;1739;1151;49; ; ;Communauté de communes Vallées du Haut-Anjou;49330
367;BDCSURCO0000000009597225;Segré-en-Anjou Bleu;49331;24380;17580;49;Segré-en-Anjou Bleu;CN;Anjou Bleu Communauté;49331
368;BDCSURCO0000000009600384;La Séguinière;49332;3150;4004;49; ; ;Agglomération du Choletais;49332
369;BDCSURCO0000000009597851;Seiches-sur-le-Loir;49333;2889;2978;49; ; ;Communauté de communes Anjou Loir et Sarthe;49333
370;BDCSURCO0000000009598131;Sermaise;49334;725;300;49; ; ;Communauté de communes Anjou Loir et Sarthe;49334
371;BDCSURCO0000000009600380;Somloire;49336;3180;912;49; ; ;Agglomération du Choletais;49336
372;BDCSURCO0000000009597854;Soucelles;49337;1947;2551;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49337
373;BDCSURCO0000000009599026;Soulaines-sur-Aubance;49338;1287;1296;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49338
374;BDCSURCO0000000009597856;Soulaire-et-Bourg;49339;1833;1471;49; ; ;Communauté Urbaine d'Angers Loire Métropole;49339
375;BDCSURCO0000000009599582;Souzay-Champigny;49341;916;785;49; ; ;Communauté d'Agglomération Saumur Val de Loire;49341
376;BDCSURCO0000000009600617;La Tessoualle;49343;2119;3097;49; ; ;Agglomération du Choletais;49343
377;BDCSURCO0000000009597554;Thorigné-d'Anjou;49344;1684;1199;49; ; ;Communauté de communes Vallées du Haut-Anjou;49344
378;BDCSURCO0000000009599598;Bellevigne-en-Layon;49345;9545;5807;49;Bellevigne-en-Layon;CN;Communauté de communes Loire Layon Aubance;49345
